scenario_id,current_cmd,next_cmd,bank_relation,burst_length,requested_gap_nck,ws_operand,data_rate_mbps,MR1.OP[4:0],MR1.OP[5],MR1.OP[6],MR11.OP[4],MR23.OP[0],MR23.OP[2],result_state,min_nck,max_nck,rule_id,warning_count,RL,WL,tWTR_S,tWTR_L,WR->RD min (diff BG),WR->RD min (same BG),tRTW
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,1,1,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,13,9,13,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,1,1,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,19,13,9,13,,,14
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,0,0,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,10,6,10,,,16
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,0,0,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,20,10,6,10,,,18
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,0,0,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,10,9,13,,,16
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,0,0,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,20,10,9,13,,,18
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,0,1,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,19,10,7,12,,,18
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,0,1,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,22,10,7,12,,,20
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,0,1,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,19,10,10,15,,,18
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,0,1,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,22,10,10,15,,,20
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,1,0,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,15,6,10,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,1,0,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,20,15,6,10,,,14
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,1,0,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,15,9,13,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,1,0,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,20,15,9,13,,,14
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,1,1,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,19,15,7,12,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,1,1,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,22,15,7,12,,,16
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,3200.0,00100,1,1,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,19,15,10,15,,,12
